2024-12-12 03:18:47 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Thread-11, Pool Size: 3
2024-12-12 03:18:47 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Thread-5, Pool Size: 4
2024-12-12 03:18:47 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Thread-6, Pool Size: 5
2024-12-12 03:18:47 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Thread-9, Pool Size: 6
2024-12-12 03:18:47 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Thread-10, Pool Size: 7
2024-12-12 03:18:47 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Thread-8, Pool Size: 8
2024-12-12 03:18:47 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Thread-7, Pool Size: 9
2024-12-12 03:18:48 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Thread-20, Pool Size: 8
2024-12-12 03:18:48 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Thread-19, Pool Size: 7
2024-12-12 03:18:48 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Thread-14, Pool Size: 6
2024-12-12 03:18:48 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Thread-15, Pool Size: 5
2024-12-12 03:18:48 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Thread-16, Pool Size: 4
2024-12-12 03:18:48 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Thread-17, Pool Size: 3
2024-12-12 03:18:48 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Thread-18, Pool Size: 2
2024-12-12 03:18:48 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Thread-21, Pool Size: 1
2024-12-12 03:18:48 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Thread-22, Pool Size: 0
2024-12-12 03:18:52 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Thread-4, Pool Size: 1
2024-12-12 03:18:52 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Thread-13, Pool Size: 2
2024-12-12 03:18:52 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Thread-11, Pool Size: 3
2024-12-12 03:18:52 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Thread-12, Pool Size: 4
2024-12-12 03:18:53 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Thread-23, Pool Size: 3
2024-12-12 03:18:53 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Thread-8, Pool Size: 4
2024-12-12 03:18:53 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Thread-7, Pool Size: 5
2024-12-12 03:18:53 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Thread-5, Pool Size: 6
2024-12-12 03:18:53 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Thread-6, Pool Size: 7
2024-12-12 03:18:53 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Thread-9, Pool Size: 8
2024-12-12 03:18:53 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Thread-10, Pool Size: 9
2024-12-12 03:18:53 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Thread-18, Pool Size: 8
2024-12-12 03:18:53 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Thread-17, Pool Size: 7
2024-12-12 03:18:53 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Thread-20, Pool Size: 6
2024-12-12 03:18:53 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Thread-16, Pool Size: 5
2024-12-12 03:18:53 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Thread-19, Pool Size: 4
2024-12-12 03:18:53 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Thread-14, Pool Size: 3
2024-12-12 03:18:53 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Thread-15, Pool Size: 2
2024-12-12 03:18:53 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Thread-21, Pool Size: 1
2024-12-12 03:18:53 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Thread-22, Pool Size: 0
